Site,Date,Line,Length,Dist,Height,Width,FlFr
T-Junction,6/9/21,1,30,0.3,3.6,5,3
T-Junction,6/9/21,1,30,0.95,7.9,8.5,8
T-Junction,6/9/21,1,30,0.16,4,5.2,2
T-Junction,6/9/21,3,30,5.88,4.7,5.5,2
T-Junction,6/9/21,3,30,0.53,3,3.8,0
T-Junction,6/9/21,4,30,1.1,7.8,7,5
T-Junction,6/9/21,4,30,0.06,2.5,1.9,0
picnic,6/10/21,2,30,4,2.9,4.8,0
picnic,6/10/21,2,30,0.18,2.6,4.9,2
picnic,6/10/21,2,30,0.1,1.9,3.1,0
picnic,6/10/21,2,30,0.21,0.7,1.2,0
picnic,6/10/21,2,30,0.22,2,3.2,0
picnic,6/10/21,2,30,0.15,1.1,1.9,0
picnic,6/10/21,2,30,1.7,1.5,4.7,0
picnic,6/10/21,3,30,0.17,2.9,4.5,0
picnic,6/10/21,3,30,0.22,2.9,3.1,0
picnic,6/10/21,3,30,0.2,2.5,2.8,0
picnic,6/10/21,3,30,0.21,1.6,2.2,0
picnic,6/10/21,4,30,0.08,2.4,3.2,2
picnic,6/10/21,4,30,0.48,2.5,3.7,0
picnic,6/10/21,4,30,0.98,1.6,4.1,2
picnic,6/10/21,4,30,0.06,1.7,5.2,0
picnic,6/10/21,4,30,1.08,2.2,2,0
picnic,6/10/21,4,30,1.86,1.5,3.8,0
picnic,6/10/21,5,30,0.22,2.5,4.5,0
picnic,6/10/21,5,30,0.33,2.6,5,0
picnic,6/10/21,5,30,2.06,2,3.8,0
picnic,6/10/21,5,30,0.7,1.6,3.4,0
picnic,6/10/21,5,30,0.4,3.2,4.5,1
picnic,6/10/21,5,30,0.44,4.3,5.6,1
picnic,6/10/21,5,30,0.51,1,0.6,0
picnic,6/10/21,5,30,0.86,2.7,4.5,0
picnic,6/10/21,5,30,2.17,3.1,4.5,0
picnic,6/10/21,5,30,0.04,3,3.9,0
picnic,6/10/21,5,30,0.27,1.1,2.4,0
picnic,6/10/21,5,30,0.3,1.9,3.7,0
picnic,6/10/21,5,30,0.27,1.2,1.2,0
picnic,6/10/21,5,30,0.12,1.9,3.6,0
picnic,6/10/21,5,30,0.93,1.3,3.3,2
picnic,6/10/21,5,30,0.39,2.3,2.4,0
picnic,6/10/21,5,30,0.16,2.6,1.8,0
picnic,6/10/21,5,30,0.6,1.6,3.1,0
picnic,6/10/21,5,30,1.01,1.4,2.7,0
T-Junction,7/9/21,1,44,2.23,6.2,6.2,7
T-Junction,7/9/21,1,44,1.45,3.5,5,2
T-Junction,7/9/21,1,44,0.26,6.1,6,4
T-Junction,7/9/21,1,44,0.22,5.4,5.4,3
T-Junction,7/9/21,1,44,0.33,1.4,2.2,0
T-Junction,7/9/21,1,44,0.43,4.9,4.8,0
T-Junction,7/9/21,2,42,0.26,2.5,1.1,0
T-Junction,7/9/21,2,42,0.12,2.1,1.4,0
T-Junction,7/9/21,4,48,0.84,13.4,9.5,13
T-Junction,7/9/21,4,48,1.23,4.9,6.5,5
T-Junction,7/9/21,4,48,0.83,8.6,8.7,8
T-Junction,7/9/21,4,48,0,6.9,6.3,3
T-Junction,7/9/21,4,48,0.06,6.6,7.1,3
T-Junction,7/9/21,4,48,0.05,3.6,3.9,0
T-Junction,7/9/21,5,46,2.07,8.4,8.7,5
T-Junction,7/9/21,6,52,1.92,4,5.8,2
T-Junction,7/9/21,6,52,0.29,5.1,5.9,4
T-Junction,7/9/21,6,52,0.28,2.2,4.8,2
Picnic,7/28/21,1,30,0.23,1.5,2,0
Picnic,7/28/21,1,30,0.16,1.5,1.5,0
Picnic,7/28/21,1,30,0.19,0.5,1,0
Picnic,7/28/21,1,30,0.15,1.5,3,0
Picnic,8/1/21,1,30,0.07,2.5,3.5,0
Picnic,8/1/21,1,30,0.66,2.4,3.6,0
Picnic,8/1/21,1,30,0.12,2,5.5,0
Picnic,8/1/21,1,30,0.06,1,3.5,0
Picnic,8/1/21,2,30,2.25,1.6,2.5,0
Picnic,8/1/21,2,30,1.55,3.5,6,0
Picnic,8/1/21,2,30,0.6,1,3,0
Picnic,8/1/21,2,30,0.6,1,1,0
Picnic,8/1/21,2,30,0.35,0.5,1.5,0
Picnic,8/1/21,2,30,0.4,0.7,1.5,0
Picnic,8/1/21,2,30,0.4,0.5,1.5,0
Picnic,8/1/21,2,30,0.4,0.25,0.8,0
Picnic,8/1/21,2,30,0.5,1,0.7,0
Picnic,8/1/21,2,30,0.5,2,4,0
Picnic,8/1/21,2,30,1.7,1.5,2.2,0
Picnic,8/1/21,2,30,1.72,1,2.5,0
Picnic,8/1/21,2,30,0.6,3.5,4,0
Picnic,8/1/21,3,30,0.6,7,7,1
Picnic,8/1/21,3,30,1,3,4.6,0
Picnic,8/1/21,3,30,2.45,2,3,0
Picnic,8/1/21,3,30,2.55,0.5,1.5,0
Picnic,8/1/21,3,30,2.6,1,2,0
Picnic,8/1/21,3,30,2.15,1,4,0
Picnic,8/4/21,1,30,0.35,1,3,0
Picnic,8/4/21,1,30,3.2,2,2,0
Picnic,8/4/21,1,30,0.55,2,3,0
Picnic,8/4/21,1,30,0.22,2,1,0
Picnic,8/4/21,1,30,0.65,4,2,0
Picnic,8/4/21,1,30,0.55,1,3,0
Picnic,8/4/21,1,30,0.6,2,1,0
Picnic,8/4/21,1,30,0.82,3,3,0
Picnic,8/4/21,1,30,0.5,3,6,0
Picnic,8/4/21,1,30,0.2,5,6,0
Picnic,8/4/21,1,30,1.5,1.5,3.5,0
Picnic,8/4/21,1,30,1.5,1.5,3,0
Picnic,8/4/21,1,30,1.5,1.5,2.5,0
Picnic,8/4/21,1,30,0.4,1,1.5,0
Picnic,8/4/21,1,30,0.19,1.5,2.5,0
Picnic,8/4/21,1,30,0.22,1,1,0
Picnic,8/4/21,1,30,1.6,2,1.5,0
Picnic,8/4/21,1,30,1.45,3,4.5,0
Picnic,8/4/21,1,30,0.25,2,3.5,0
Picnic,8/4/21,1,30,0.8,3,7,0
Picnic,8/4/21,1,30,0.72,1,1,0
Picnic,8/4/21,1,30,0.8,2.5,1.5,0
Picnic,8/4/21,1,30,0.72,1,1,0
Picnic,8/4/21,1,30,0.8,2.5,1.5,0
Picnic,8/4/21,1,30,0.85,3,4.5,0
Picnic,8/4/21,1,30,5.7,3,5,0
Picnic,8/4/21,1,30,1.4,4.5,5,0
Picnic,8/4/21,1,30,1.45,3.5,7,0
Picnic,8/4/21,1,30,1.5,3.5,4,0
Picnic,8/4/21,1,30,4.9,4.5,5,0
Picnic,8/4/21,1,30,5.27,5,6,0
Picnic,8/5/21,1,30,3.5,8,8,0
Picnic,8/5/21,1,30,5.4,3,4,0
Picnic,8/5/21,1,30,5.4,3,4,0
Picnic,8/5/21,1,30,4,3.5,5,0
Picnic,8/5/21,1,30,2.25,2.5,4.5,0
Picnic,8/5/21,1,30,2.25,1.5,3,0
Picnic,8/5/21,1,30,1.16,2.5,6,0
Picnic,8/5/21,1,30,0.15,5,4.5,0
Picnic,8/5/21,1,30,1.7,10,7.5,0
Picnic,8/5/21,1,30,3.4,4,6,0
Picnic,8/5/21,1,30,0.22,1,3,0
Picnic,8/5/21,1,30,0,4,3.5,0
Picnic,8/5/21,1,30,0.9,1,2,0
Picnic,8/5/21,1,30,0.9,2,3.5,0
Picnic,8/5/21,1,30,0.9,1,3,0
Picnic,8/5/21,1,30,0.9,4,6,0
Picnic,8/5/21,1,30,0.9,0.5,1,0
Picnic,8/5/21,1,30,0.9,1,1.5,0
Picnic,8/5/21,1,30,0.9,1,2,0
Picnic,8/5/21,1,30,0.8,1,1.5,0
Picnic,8/5/21,1,30,0.15,1.5,2.5,0
Picnic,8/5/21,1,30,1,0.5,3.5,0
Picnic,8/5/21,1,30,0.65,6,7,0
Picnic,8/5/21,1,30,1.7,2.5,4.5,0
Picnic,8/5/21,1,30,0.05,0.5,1,0
Picnic,8/5/21,1,30,0.25,1,3.5,0
Picnic,8/5/21,1,30,0.3,2,3,0
Picnic,8/5/21,1,30,0.27,1,1.5,0
Picnic,8/5/21,1,30,0.27,3,5,0
Picnic,8/5/21,1,30,0.27,1,0.5,0
Picnic,8/5/21,1,30,0.55,1.5,1.5,0
Picnic,8/5/21,1,30,0.55,1.5,0.5,0
Picnic,8/5/21,1,30,0.2,2,4.5,0
Picnic,8/5/21,1,30,2.45,2.5,4,0
Picnic,8/5/21,1,30,0.2,4,4.5,0
Picnic,8/5/21,1,30,0.35,2.5,5,0
Picnic,8/5/21,1,30,0.29,0.5,3,0
Picnic,8/5/21,1,30,0.3,3,5.5,0
Picnic ,8/5/21,2,30,0.95,1.5,1.5,0
Picnic ,8/5/21,2,30,0.95,2,4,0
Picnic ,8/5/21,2,30,1.2,1.5,4.5,0
Picnic ,8/5/21,2,30,1.4,2,3.5,0
Picnic ,8/5/21,2,30,0.95,1,3.5,0
Picnic ,8/5/21,2,30,0.95,1.05,3,0
Picnic ,8/5/21,2,30,3,1.5,3,0
Picnic ,8/5/21,2,30,2.5,2.5,4,0
Picnic ,8/5/21,2,30,5.8,5,5,0
Picnic ,8/5/21,2,30,8.9,9,8,0
Picnic ,8/5/21,2,30,0.6,1.5,3.5,0
Picnic ,8/5/21,2,30,1.65,3,4,0
Picnic ,8/5/21,2,30,0.3,0.5,2,0
Picnic ,8/5/21,2,30,0.95,2,3.5,0
Picnic ,8/5/21,2,30,1.5,1.5,3,0
Picnic ,8/5/21,2,30,2.1,1.5,2.5,0
Picnic ,8/5/21,2,30,1.8,2,4.5,0
Picnic ,8/5/21,2,30,0.1,1,4,0
Picnic ,8/5/21,2,30,0.55,2,4.5,0
Picnic ,8/5/21,2,30,1.5,1.5,5,0
Picnic ,8/5/21,2,30,0.3,1.5,5,0
Picnic ,8/5/21,2,30,0.25,1,1,0
Picnic ,8/5/21,2,30,0.4,1,2,0
Picnic ,8/5/21,2,30,0,1.5,2.5,0
Picnic ,8/5/21,2,30,0,1.5,3,0
Picnic ,8/5/21,2,30,1.1,1,3,0
Picnic ,8/5/21,2,30,0.7,2,3,0
Picnic,8/5/21,3,30,0.8,2.5,3.5,0
Picnic,8/5/21,3,30,0.8,3,4,0
Picnic,8/5/21,3,30,1.5,4,5,0
Picnic,8/5/21,3,30,1.3,2,3,0
Picnic,8/5/21,3,30,1.05,2,3,0
Picnic,8/5/21,3,30,1.05,2,4,0
Picnic,8/5/21,3,30,1.05,1,4,0
Picnic,8/5/21,3,30,0.7,1.5,2,0
Picnic,8/5/21,3,30,0.7,2,3,0
Picnic,8/5/21,3,30,0.7,2.5,1,0
Picnic,8/5/21,3,30,1.9,2.5,5,0
Picnic,8/5/21,3,30,2.65,2,4,0
Picnic,8/5/21,3,30,0.05,1,3.5,0
Picnic,8/5/21,3,30,0,2,4,0
Picnic,8/5/21,3,30,1.15,4,5.5,0
Picnic,8/5/21,3,30,0.55,3,4,0
Picnic,8/5/21,3,30,0.7,1.5,3,0
Picnic,8/5/21,3,30,1.4,1,3,0
Picnic,8/5/21,4,30,0.75,1.5,3.5,0
Picnic,8/5/21,4,30,2.1,3.5,4,0
Picnic,8/5/21,4,30,1.75,3,3,0
Picnic,8/5/21,4,30,2,2,4,0
Picnic,8/5/21,4,30,0.6,1,2.5,0
Picnic,8/5/21,4,30,2.1,5,4.5,0
Picnic ,8/5/21,5,30,1.1,4,4,0
Picnic ,8/5/21,5,30,3.5,2,3,0
Picnic ,8/5/21,5,30,0.9,2.5,3,0
Picnic ,8/5/21,5,30,3.2,2,5,0
Picnic ,8/5/21,5,30,0.35,2,3.5,0
Picnic ,8/5/21,5,30,0.85,0.5,2.5,0
Picnic ,8/5/21,5,30,0.95,1,1,0
Picnic ,8/5/21,5,30,1,1.5,3,0
Picnic ,8/5/21,5,30,1.05,0.5,2.5,0
Picnic ,8/6/21,6,30,1.1,1.5,3,0
Picnic ,8/6/21,6,30,1.15,1,3,0
Picnic ,8/6/21,6,30,0.75,3,4.5,0
Picnic ,8/6/21,6,30,0.7,0.9,2.5,0
Picnic ,8/6/21,6,30,0.9,2,3,0
Picnic ,8/6/21,6,30,0.9,1,1.5,0
Picnic ,8/6/21,6,30,0.9,1,2.5,0
T-junction,8/6/21,1,30,4.5,2.5,2,0
T-junction,8/6/21,2,30,1.5,7,5,0
T-junction,8/6/21,2,30,3.2,4,4,0
T-junction,8/6/21,2,30,0.65,8.5,6,0
T-junction,8/6/21,3,30,1.15,3.5,2.5,0
T-junction,8/6/21,3,30,0.25,6.5,4,0
T-junction,8/6/21,4,30,1,7,5,0
T-junction,8/6/21,4,30,0.6,2.5,4,0
T-junction,8/6/21,4,30,0.9,11,8,0
T-junction,8/6/21,4,30,0.9,1.5,1,0
T-junction,8/6/21,4,30,0.9,1,1,0
T-junction,8/6/21,4,30,0.9,0.5,0.5,0
T-junction,8/6/21,4,30,0.1,8,6,0
T-junction,8/6/21,4,30,0.25,2.5,2,0
T-junction,8/6/21,4,30,0.9,5,5,0
T-junction,8/6/21,4,30,0.9,3,3.5,0
T-junction,8/6/21,4,30,1.2,1.5,2,0
T-junction,8/6/21,4,30,1.6,4,3.5,0
T-junction,8/6/21,4,30,0.05,3,2.5,0
T-junction,8/6/21,4,30,0.15,7,5,0
T-junction,8/6/21,4,30,1.3,4,4,0
T-junction,8/6/21,4,30,0.75,2.5,2,0
T-junction,8/6/21,4,30,0.85,4.5,4,0
T-junction,8/6/21,4,30,0.9,3,2.5,0
T-junction,8/6/21,4,30,2.6,2.5,2.5,0