,spacing,Mean.Area.Covered,Mean.Effort,True.Abundance,Mean.Abundance.Estimate,Abundance.Bias,Mean.Abundance.SE,Mean.Abundance.SD,True.Density,Density.Estimate,Density.Bias,Density.SE,Density.SD
1,6,15612.64141,1301.053451,1193.82,1188.805987,-0.419997436,74.88791695,70.37765067,0.152922146,0.152279876,-0.419997436,0.009592753,0.009015012
2,8,11708.67523,975.722936,1193.82,1194.36701,0.045820124,86.57392542,81.51934848,0.152922146,0.152992215,0.045820124,0.01108967,0.010442205
3,10,9367.615891,780.6346575,1193.82,1190.308392,-0.294148848,96.98633259,92.46821834,0.152922146,0.152472327,-0.294148848,0.012423446,0.011844699
4,12,7804.722539,650.3935449,1193.82,1190.346263,-0.290976584,105.541587,103.5734734,0.152922146,0.152477178,-0.290976584,0.013519329,0.013267224
5,14,6691.779792,557.648316,1193.82,1186.34535,-0.626111981,114.0910482,107.8035006,0.152922146,0.151964682,-0.626111981,0.014614471,0.013809069
6,16,5853.588204,487.799017,1193.82,1195.262806,0.12085627,122.61499,121.6631078,0.152922146,0.153106962,0.12085627,0.015706344,0.015584413
7,18,5203.286319,433.6071933,1193.82,1191.936136,-0.157801345,129.4760656,130.9653399,0.152922146,0.152680832,-0.157801345,0.016585212,0.01677598
8,20,4684.51728,390.37644,1193.82,1199.618384,0.485700061,137.5848525,145.5659404,0.152922146,0.153664888,0.485700061,0.017623905,0.018646241
9,22,4258.969299,354.9141083,1193.82,1200.52634,0.561754707,143.5701699,146.9606728,0.152922146,0.153781193,0.561754707,0.018390594,0.018824899
10,24,3903.974221,325.3311851,1193.82,1195.685497,0.156262875,148.7489726,145.7290595,0.152922146,0.153161106,0.156262875,0.019053971,0.018667136
11,26,3605.426408,300.4522007,1193.82,1196.062009,0.187801277,155.4298739,158.8878764,0.152922146,0.153209335,0.187801277,0.01990976,0.020352712
12,28,3343.993756,278.6661463,1193.82,1204.632364,0.905694669,162.3513131,163.3859607,0.152922146,0.154307153,0.905694669,0.020796361,0.020928894
13,30,3121.610354,260.1341962,1193.82,1203.587553,0.818176323,166.6982461,173.8541724,0.152922146,0.154173318,0.818176323,0.02135318,0.022269817